year,age,sex,people
12/8/2018,18-24,male,21.316918
12/8/2018,25-34,female,1686.306964
12/8/2018,25-34,male,328.025024
12/8/2018,35-44,female,16105.15315
12/8/2018,35-44,male,2742.57636
12/8/2018,45-54,female,34141.71753
12/8/2018,45-54,male,4787.471606
12/8/2018,55-64,female,43254.47944
12/8/2018,55-64,male,5950.678656
12/8/2018,65+,female,27423.16517
12/8/2018,65+,male,3915.819191
12/9/2018,18-24,female,145.264047
12/9/2018,18-24,male,18.918922
12/9/2018,25-34,female,1312.522714
12/9/2018,25-34,male,394.214524
12/9/2018,35-44,female,16181.6692
12/9/2018,35-44,male,3129.353607
12/9/2018,45-54,female,35335.32378
12/9/2018,45-54,male,5796.34556
12/9/2018,55-64,female,42563.72149
12/9/2018,55-64,male,6616.331662
12/9/2018,65+,female,23789.0758
12/9/2018,65+,male,3212.443263
12/10/2018,18-24,female,136.774503
12/10/2018,18-24,male,22.769571
12/10/2018,25-34,female,843.126946
12/10/2018,25-34,male,166.555681
12/10/2018,35-44,female,8050.297695
12/10/2018,35-44,male,1250.872312
12/10/2018,45-54,female,16489.55173
12/10/2018,45-54,male,2462.995441
12/10/2018,55-64,female,21299.17127
12/10/2018,55-64,male,3441.211426
12/10/2018,65+,female,13031.60756
12/10/2018,65+,male,1500.776367
12/11/2018,18-24,female,153.964055
12/11/2018,18-24,male,13.819353
12/11/2018,25-34,female,962.610886
12/11/2018,25-34,male,131.993844
12/11/2018,35-44,female,7625.227633
12/11/2018,35-44,male,1164.249788
12/11/2018,45-54,female,16159.16421
12/11/2018,45-54,male,2176.443065
12/11/2018,55-64,female,21644.15024
12/11/2018,55-64,male,3293.640801
12/11/2018,65+,female,14279.63213
12/11/2018,65+,male,1600.336797
12/12/2018,18-24,female,183.082637
12/12/2018,18-24,male,11.019559
12/12/2018,25-34,female,1175.881442
12/12/2018,25-34,male,97.466303
12/12/2018,35-44,female,6325.973246
12/12/2018,35-44,male,831.121081
12/12/2018,45-54,female,14733.23995
12/12/2018,45-54,male,1761.420486
12/12/2018,55-64,female,20749.31802
12/12/2018,55-64,male,2727.811526
12/12/2018,65+,female,12947.82311
12/12/2018,65+,male,1418.790337
12/13/2018,18-24,female,191.984155
12/13/2018,18-24,male,11.629999
12/13/2018,25-34,female,1287.330718
12/13/2018,25-34,male,92.529678
12/13/2018,35-44,female,6266.56292
12/13/2018,35-44,male,553.970744
12/13/2018,45-54,female,14018.73736
12/13/2018,45-54,male,1207.407694
12/13/2018,55-64,female,20378.38388
12/13/2018,55-64,male,1927.045865
12/13/2018,65+,female,11143.56136
12/13/2018,65+,male,1388.251517
12/14/2018,18-24,female,246.624587
12/14/2018,18-24,male,10.949863
12/14/2018,25-34,female,1132.288006
12/14/2018,25-34,male,83.018747
12/14/2018,35-44,female,7326.38155
12/14/2018,35-44,male,635.642113
12/14/2018,45-54,female,16834.14159
12/14/2018,45-54,male,1399.494689
12/14/2018,55-64,female,23591.61398
12/14/2018,55-64,male,2139.695534
12/14/2018,65+,female,10979.69481
12/14/2018,65+,male,1194.619452
12/15/2018,18-24,female,274.27
12/15/2018,18-24,male,16.72
12/15/2018,25-34,female,1765.1
12/15/2018,25-34,male,295.97
12/15/2018,35-44,female,14913.94745
12/15/2018,35-44,male,2365.97
12/15/2018,45-54,female,31778.19603
12/15/2018,45-54,male,4146.88
12/15/2018,55-64,female,37201.74479
12/15/2018,55-64,male,4826.95
12/15/2018,65+,female,22872.40172
12/15/2018,65+,male,3056.36
12/16/2018,18-24,female,313.4
12/16/2018,18-24,male,22.68
12/16/2018,25-34,female,2438.55
12/16/2018,25-34,male,257.43
